pair_id,dispatch_bucket,bucket_rank,v0_score,v1_5_score,v2_score,clip_score,v0_rank,v1_5_rank,v2_rank,clip_rank
A001,drift,2,0.0751758929853857,0.05248703,0.0376155140499273,0.0905216932296752,2,4,6,9
A002,drift,2,0.0095852511852311,0.008480479,0.1261091878016789,0.1110663414001464,9,8,2,5
A003,clean,1,0.0297783741552275,0.039554518,0.1110860258340835,0.1044798493385315,6,5,3,6
A004,drift,2,0.0500501570320551,0.013052958,0.0274005761990944,0.1208811402320861,4,7,8,3
A005,major,3,0.0656700409941321,0.24273553,0.0405607676754395,0.272057831287384,3,1,5,1
A011,drift,2,0.038451432140706,0.075132154,0.0420530835787455,0.0489667654037475,5,3,4,10
A012,drift,2,0.0207719201911818,0.08224065,0.0113438119490941,0.0965203046798706,7,2,9,7
A013,clean,1,0.0044301422502617,0.0041054855,0.0009912293365535,0.0949348211288452,10,10,10,8
A014,drift,2,0.0127584844264079,0.0066781263,0.0300949936111768,0.1207045316696167,8,9,7,4
A015,major,3,0.1668120023584531,0.035698242,0.1624889473120371,0.2305302619934082,1,6,1,2
